command,mean,stddev,user,system,min,max
./target/release/least_action 1 1,0.0026434421447906575,0.0003309786705231797,0.0020858055555555543,0.0011924588405797095,0.0019974526149999995,0.004843517615000001
./target/release/least_action 1 2,0.018335111622142852,0.001029020725968837,0.015114492857142862,0.00324828107142857,0.016285497615,0.020961372615
./target/release/least_action 1 3,0.06334451727409093,0.0025312856438761125,0.05388287727272727,0.009196400227272727,0.059426331615,0.067790604615
./target/release/least_action 1 4,0.1551939691413158,0.007324823420599483,0.13425920263157898,0.020498901578947373,0.147983950615,0.174994491615
./target/release/least_action 1 5,0.31517036691500006,0.011983318553577343,0.27654305,0.03738387,0.295958312615,0.333182964615
./target/release/least_action 1 6,0.5286810054150001,0.008148498822277686,0.46217015000000006,0.06536307,0.5213852386150001,0.5414978156150001
./target/release/least_action 1 7,0.853194038015,0.006298333838465747,0.75227735,0.09864887,0.8459116946150002,0.8631344286150001
./target/release/least_action 1 8,1.2522665996150002,0.009971431321695153,1.0824131500000003,0.16703686999999998,1.2412927636150002,1.2626671306150001
./target/release/least_action 1 9,1.8055831450150002,0.015234781936608172,1.5751393500000002,0.22614386999999997,1.7819854036150002,1.820153108615
./target/release/least_action 1 10,2.599184793015,0.14767212296065105,2.24927755,0.33974347,2.439488880615,2.7603934956150002
